Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,,,,,,,,,2,,,,1004,monster stance,,FALSE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
521,Lateral Monster Walk,,strength_action_bw,,no_equipment,none,mod,,1,single leg stabilization,single_leg_moving,,3_a,lateral monster gait:Propulsion,,TRUE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,1,swing,,,3_b,lateral monster gait:Swing,,FALSE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,1,,,,1004,monster stance,,FALSE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,2,weight transfer between legs,staggered_leg_moving,,3_c,lateral monster gait: transferring load: unloading,,TRUE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
,,,,,,,,,2,,,,3_d,lateral monster gait: transferring load: receiving,,FALSE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
,,,,,,,,,2,,,,1004,monster stance,,FALSE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
,Single Leg Standing Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,SL RDL,,strength_action_bw,,no_equipment,none,mod,,1,,single_leg_standing,,2003_b,Bodyweight Deadlift:negative,,,,,,,,,,,,,,
,,,,,,,,,1,,,,2003_c,Bodyweight Deadlift:stance,,,,,,,,,,,,,,
,,,,,,,,,2,,single_leg_standing,,2003_a,Bodyweight Deadlift:positive,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2003_c,Bodyweight Deadlift:stance,,,,,,,,,,,,,,
