,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Adductor Push-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/S4CdkwWJDkI,,,Reps,"['basic_exercise: push-ups', 'movement direction - plane: frontal']",warm-up/movement prep; prehab/dynamic warm-up; prehab/dynamic warm up; warm-up; warm-up / movement prep,0,0,0,0,533,58500e8f7126830011fc9a16,#N/A,
,Agility Flow,6-step break dancing move,,,,,movement_prep,,,,,,,,,https://youtu.be/qYBisgt1UwA,,,Reps,[],recovery protocol; recovery work; movement work; mobility,0,0,0,0,1296,5b0f043c1d38c4000feec2b6,#N/A,
,Air Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/73NiUisgdLI,undefined,,Reps; Time,['basic_functional_movement: squat'],callisthenics; strength 1; prehab/dynamic warm up; sunâ€™s out guns out (accessory work); weight vest pyramid; assisted work; stamina- swimming; leg pt pyramid; stamina 3; warm-up/movement prep; body weight movements; cool down; accessory work 2; warm up/movement; soflete rx'd; prehab/dynamic warm-up; soflete performance; stamina- run; weight vest workout; heart rate elevation; stamina 1; soflete fitness; strength; warm up/movement prep; stamina; calisthenics; recovery; accessory work; suns out guns out; strength 3; strongman; soflete rx'd/performance; prehab/dynamic warm up (jog 05:00); running; dynamic warm-up; body weight; conditioning; movement flow; soflete performance/fitness; squat pyramid; warm-up; stamina- running; soflete stamina; warm-up / movement prep; stamina 2,1,1,0,2,1,57e2fd3a4c6a031dc777e81d,Weight (Actual),
,Airdyne,DUPLICATE,,100,,,strength_cardiorespiratory,cycle,,,stable,,,speed - low force,,https://youtu.be/QrM8bNaYHq4,airbike,,Seconds; Meters; Minutes; Miles; Calories; Reps; Time,['equipment: airbike'],skill prep; stamina option 3 - bike; mixed modal 1; triathlon - half ironman distance; mix modal; option 3 - bike; bike base phase; sprint distance; endurance day; bike- 50 mile race; endurance option 2 - bike; half ironman distance; bonus work; stamina option 3; triathlon base phase; cycling / mtb ssp; stamina 3; endurance; cool down; soflete rx'd; conditioning 4; soflete performance; triathlon - sprint distance; weapons development; conditioning 2; soflete fitness; stamina 1; optional endurance day; gymnastics; endurance - bike; stamina prep; bike - 100 mile race; stamina; olympic distance ssp; stamina prep 1; endurance 2 - bike; stamina option 1 - bike; triathlon; strength & stamina; conditioning 3; stamina option 1; olympic distance; bike- 100 mile race; airdyne; triathlon - olympic distance; conditioning; mixed modal 2; warm-up; stamina option 1 - airdyne; bike - 50 mile race; spring ssp; half ironman ssp; stamina 2,1,1,0,2,223,57e2fd3a4c6a031dc777e90c,#N/A,
,Airdyne,DUPLICATE,,100,,,strength_cardiorespiratory,cycle,,,stable,,,speed - low force,,https://youtu.be/GP_FwD94TiU,airbike,,Seconds; Meters; Minutes; Miles; Calories; Reps; Time; Watts,['equipment: airbike'],skill prep; optional am session; strength 1; open 18.1 prep; stamina option 3 - bike; mobility; option 3 - bike; movement work; sprint distance; endurance day; sprint ssp; recovery work; mobility work; stamina option 3; bonus work; triathlon base phase; conditioning prep; stamina 3; warm-up/movement prep; endurance; cool down; soflete rx'd; soflete performance; triathlon - sprint distance; stamina 4; stamina prep 2; conditioning 2; conditioning option b; open 18.3 prep; mixed modal; soflete fitness; stamina 1; optional endurance day; endurance option 2- bike; gymnastics; endurance - bike; strength; stamina prep; warm; stamina; stamina prep 1; accessory work; endurance prep; cyclic work; stamina option 1 - bike; soflete rx'd/performance; open 18.4 prep; open 18.5 prep; cycling/mtb ssp; conditioning 3; stamina option 1; triathlon - olympic distance; conditioning; endurance option 2; cycling; warm-up; conditioning 1; warm-up / movement prep; open 18.2 prep; stamina 2,1,1,0,2,755,58c40ce8c7cfd3000f0d0f92,#N/A,
,Alternate Bounding,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/0WF-6oUIFlU,,,Meters,[],plyometrics,0,0,1,1,786,59012701825920000fab5bab,#N/A,
,Alternating DB Crossbody RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/gzAY8R0TLDE,dumbbells,,Reps,"['olympic_lift: romanian deadlift', 'equipment: dumbbells']",warm-up/movement prep; accessory work; accessory work 2; strength 1; warm-up; strength 2; warm-up / movement prep; accessory work 1,1,0,0,1,1229,5ac640bdd4365e000f26e0f8,Weight (2RM),
,Alternating Elbow Plank,,,,,,strength_endurance,,,,,,,,,https://youtu.be/BHpejR4-GhM,,,Seconds; Minutes; Time,['basic_functional_movement: stabilizer'],warm-up/movement prep; accessory work; movement flow; accessory work 2; warm up/movement prep; warm-up / movement prep; mixed modal; core,0,0,0,0,1013,59d3f1a40b81da000ff6afe4,#N/A,
,Alternating KB Push Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/WsWelJq5apM,kettlebells,,Reps,['equipment: kettlebells'],strength 1; strength 2,1,0,0,1,1215,5ac3b73d16557e000f3d5388,Weight (Actual),
,Alternating Leg Extensions,,,,,,,,,,,,,,,https://youtu.be/-UtH5v2V2ac,,,Seconds,[],accessory work,0,0,0,0,1761,5ca78d6f60e5d3000f14ae1e,#N/A,
Alternating Med-Ball Push-Ups,Alternating Med Ball Plyo Push-Ups,"push-up with one hand on med ball, lateral walk to replace hands, push-up",,"1200, 1201",1004,,power_action_plyometrics,,,,stable,medicine_balls,,speed - no force,,https://youtu.be/gOrIOIoT-q4,medicine_balls,,Reps,['basic_exercise: push-ups'],plyometrics,0,0,1,1,1897,5d22e715fce11500125de393,#N/A,
Russian Twist,Alternating Med Ball Rotations,same as russian twist abs,,"trunk rotation, V-situp",,,strength_endurance,,,,stable,,,,,https://youtu.be/io_KYOwklI8,medicine_balls,,Seconds,[],core,0,0,0,0,1804,5cd32da4fce11500124c0b1b,#N/A,
Alternating Med-Ball Push-Ups,Alternating Med-Ball Push-Ups,"push-up with one hand on med ball, lateral walk to replace hands, push-up",,"1200, 1201",,,power_action_plyometrics,,,,stable,medicine_balls,,speed - no force,,https://youtu.be/oF2dMVdvnik,medicine_balls,,Reps,"['basic_exercise: push-ups', 'equipment: medicine-slam balls']",plyometrics,0,0,1,1,1872,5d07b641fce115001257c8ae,#N/A,
,Alternating Prone Handcuff,"prone, place one hand on back of head and the other on lower back. switch",,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/VztOFBlS3K8,,prone,Reps,['body position: prone'],accessory work 2,0,0,0,0,1874,5d07b9e4fce115001257ca68,#N/A,
,Alternating Reaching Hands Pillar Holds,,,,,,,,,,,,,,,https://youtu.be/C_T0k4u1WVA,,,,[],,0,0,0,0,225,57e2fd3a4c6a031dc777e90e,#N/A,
,Alternating Sandbag Box Step-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/fqTK9pFI2GQ,sandbags,,Minutes,"['basic_exercise: step-up', 'equipment: sandbags', 'basic_functional_movement: step']",stamina,0,1,0,1,1887,5d12bd4afce11500125a7fed,Weight (Actual),
,Anderson Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/6QDdfRcp5Ko,barbells,,Reps,['basic_functional_movement: squat'],strength 1; strength,1,0,0,1,1380,5b918d3586874b000ffcc910,Weight (5RM),
,Animal Flow,,,,,,,,,,,,,,,https://youtu.be/14BjRxE7f1o,,,Reps,[],recovery protocol; movement work,0,0,0,0,1300,5b0f07393eac7a000f7410d8,#N/A,
,Ankle Circles,,,,,,flexibility,,,,,,,,,https://youtu.be/mzTQGYGI0Ng,,,Reps; Minutes,[],recovery protocol; skill development; recovery protocol 4; cars warm-up,0,0,0,0,1791,5cba364ccc3ad8000f206225,#N/A,
,Ankle Dorsiflexion,,,,,,,,,,,,,,,https://youtu.be/JOoTBdECBHI,,,Reps; Seconds,[],warm-up/movement prep; mobility (ps/te); prehab/dynamic warm up; prehab/dynamic warm-up; mobility; warm-up; prehab/dynamic warm up (jog 200); recovery protocol 1; recovery protocol; mobility work; neuro adaptation; correctives; warm-up / movement prep,0,0,0,0,164,57e2fd3a4c6a031dc777e8cd,#N/A,
,Anterior Hip Mobilization,,,,,,,,,,,,,,,https://youtu.be/B5AtSGtk4wU,,,Minutes,['movement direction - axis: horizontal'],warm-up/movement prep; prehab/dynamic warm-up; prehab/dynamic warm up; mobility; recovery protocol,0,0,0,0,667,5888eb8dba4bcd000fd7a7b5,#N/A,
