,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Single Arm Dumbbell Bench Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=TVM2S2KWX6Q,dumbbells,,Reps,"['basic_exercise: bench press', 'equipment: dumbbells']",accessory work 2; accessory work; suns out guns out; strength 1; strength 3; strength 2; trunk work; stamina 1; strength; neuro adaptation; mobility work; accessory work 1,1,1,0,2,411,57e2fd3b4c6a031dc777e9d5,Weight (Actual),
,Single Arm Dumbbell Clean,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/RF8iX5jl2Ng?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,dumbbells,,Reps,['equipment: dumbbells'],stamina; strength,1,1,0,2,22,57e2fd3a4c6a031dc777e833,Weight (Actual),
,Single Arm Dumbbell Complex - Power Snatch to Thruster,,,,,,strength_integrated_resistance,,,,,,,,,,dumbbells,,,"['olympic_lift: snatch', 'equipment: dumbbells']",,0,0,0,0,412,57e2fd3b4c6a031dc777e9d6,#N/A,
,Single Arm Dumbbell Hold Overhead,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9Wg4gBuYIvU,dumbbells,,Seconds; Minutes,['equipment: dumbbells'],warm-up/movement prep; acessory work; stamina 1; strength 1,1,1,0,2,1805,5cd5be1ffce11500124caed5,Weight (Actual),
,Single Arm Dumbbell Overhead RNT Reverse Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=uoodVa3MQDU,dumbbells,,Reps,"['equipment: dumbbells', 'basic_functional_movement: lunge']",strength 1; movement primer,1,0,0,1,1267,5ae75d611a4308000fc64b3c,Weight (Actual),
,Single Arm Dumbbell Power Snatch,,,,,,strength_integrated_resistance,,,,,,,,,,dumbbells,,Reps,"['olympic_lift: snatch', 'equipment: dumbbells']",stamina; push press,0,1,0,1,413,57e2fd3b4c6a031dc777e9d7,Weight (Actual),
,Single Arm Dumbbell Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Y_7BcJm5Ft4?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,dumbbells,,Reps,['equipment: dumbbells'],strength work; accessory work; warm-up/movement prep; suns out guns out; cyclic work; strength 1; sunâ€™s out guns out (accessory work); warm-up; strength 2; strength; warm-up / movement prep; stamina,1,1,0,2,506,5840724bdc2ce90011f93a9d,Weight (Actual),
,Single Arm Dumbbell Press From Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/vSpHjWKzKoA,dumbbells,,Reps,"['equipment: dumbbells', 'basic_functional_movement: squat']",warm-up/movement prep; warm-up / movement prep,0,0,0,0,1748,5c9f7cabcc3ad8000f1977b6,Weight (Actual),
,Single Arm Dumbbell Push Press,,,,,,power_action_olympic_lift,,,,,,,,,https://youtu.be/l2ovJjQvT_0?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,dumbbells,,Reps,"['olympic_lift: push press', 'equipment: dumbbells']",stamina 3; accessory work; suns out guns out; sunâ€™s out guns out (accessory work); mix modal; strength 2; stamina; stamina 2,1,1,0,2,554,585c39e14d0fec0011c02768,Weight (Actual),
,Single Arm Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/pYcpY20QaE8?t=81,dumbbells,,Reps,"['equipment: dumbbells', 'equipment: rower']",warm-up/movement prep; accessory work; strength 1; strength 3; strength 2; strength; accessory work 1,1,0,0,1,1614,5c40ed95dafb11000fb7846d,Weight (Actual),
,Single Arm Front Rack KB Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=NI7d_hOCOv4,kettlebells,,Reps; Meters,"['equipment: kettlebells', 'basic_functional_movement: lunge']",warm-up/movement prep; accessory work; strength 1; warm-up; assisted work; warm-up / movement prep; stamina; movement primer,1,1,0,2,875,5968fd14332cef000f6791c7,Weight (Actual),
,Single Arm Front Rack KB Sit-Ups,,,,,,strength_endurance,,,,,,,,,https://youtu.be/kVfOdtJLc8M,kettlebells,,Reps,['equipment: kettlebells'],strength work; accessory work; strength 3; warm-up; strength; stamina,1,1,0,2,932,59a9f3cec3db3e000f765f8c,Weight (Actual),
,Single Arm Half Kneeling KB Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=prtLoXM3Oik,kettlebells,,Reps,"['equipment: kettlebells', 'body position: kneeling']",warm-up/movement prep; warm-up / movement prep; warm-up; strength,1,0,0,1,979,59cc4e8d546031000fe95b01,Weight (Actual),
,Single Arm Hang From Rings,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=TNT51BMAR-Y,,,Seconds; Time,[],warm-up/movement prep; warm-up / movement prep,0,0,0,0,848,594d69032f01a7000f72ce07,#N/A,
,Single Arm Incline DB Bench Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/QPi2iPxIOMU,dumbbells,,Reps,"['basic_exercise: bench press', 'equipment: dumbbells']",accessory work 1; accessory work; strength 4; strength 2,1,0,0,1,1751,5ca0e308cc3ad8000f19b23a,Weight (Actual),
,Single Arm KB Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/1-xVeV0xcCE,kettlebells,,Reps,"['olympic_lift: deadlift', 'equipment: kettlebells']",warm-up/movement prep; warm-up / movement prep; strength 3,1,0,0,1,1328,5b5c277d66015e000f13b255,Weight (Actual),
,Single Arm KB Farmers Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=6npFKmvhmas,kettlebells,,Seconds; Meters; Feet,"['basic_exercise: carry', 'equipment: kettlebells', ""equipment: farmer's carry handles""]",warm-up/movement prep; accessory work; strength 3; warm-up; trunk work; stamina 1; strength; trunk work 1; warm-up / movement prep; accessory work 1; stamina,1,1,0,2,1668,5c5fbfb682c07a00126c9b95,Weight (Actual),
,Single Arm KB Front Rack Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=lNxVI6fltJg,kettlebells,,Time; Reps; Meters; Feet,"['basic_exercise: carry', 'equipment: kettlebells']",warm-up/movement prep; accessory work; warm-up / movement prep; strength 1; strength 3; warm-up; strength 4; strength 2; strength; bonus work (optional); warm up/movement prep; stamina; stamina 3,1,1,0,2,1019,59dfa7c1b0b986000f1a5a77,Weight (Actual),
,Single Arm KB Front Rack Reverse Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=Ep4ssl_amn4,kettlebells,,Reps,"['equipment: kettlebells', 'basic_functional_movement: lunge']",strength 2,1,0,0,1,1278,5af9aecd3eac7a000f71306f,Weight (Actual),
,Single Arm KB RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=BZc9s_-zVws,kettlebells,,Reps,"['olympic_lift: romanian deadlift', 'equipment: kettlebells']",strength 3,1,0,0,1,1361,5b8170f04a198c000f19c692,Weight (Actual),
,Single Arm KB Strict Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=sucxYgqieWI,kettlebells,,Reps; Time,['equipment: kettlebells'],warm-up/movement prep; accessory work; soflete rx'd; strength 3; soflete performance; warm-up; weapons development; soflete fitness; assisted work; strength; neuro adaptation; mobility work; stamina,1,1,0,2,769,58df0fae92dd6d000f61194c,Weight (Actual),
,Single Arm KB Swing,,,,,,power_action_plyometrics,,,,,kettlebells,,,,https://youtu.be/R8uI-EopErw,kettlebells,,Reps; Minutes; Time,['equipment: kettlebells'],warm-up/movement prep; accessory work; carbine; strength 1; strength 3; warm-up; mix modal; strength 2; heart rate elevation; stamina 1; warm up/movement work; warm up/movement prep; warm-up / movement prep; accessory work 1; stamina,1,1,0,2,758,58c5e002e8f951000fc0e9aa,Weight (Actual),
,Single Arm Kettlebell Bent over Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9Q9gwoXHn1o,kettlebells,,Reps,"['equipment: kettlebells', 'equipment: rower']",accessory work; strength 1,1,0,0,1,1459,5bec35f6928046000fa51f70,Weight (Actual),
,Single Arm Kettlebell Front Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/EL0948ij6W8,kettlebells,,Reps,"['equipment: kettlebells', 'basic_functional_movement: squat']",warm-up/movement prep; accessory work; warm-up; conditioning 2; strength 2; mobility work; mobility work 3; warm-up / movement prep; stamina; stamina 2,1,1,0,2,626,587f83739f4d4d000f6df8e3,Weight (Actual),
,Single Arm Kettlebell Push Press,,,,,,power_action_plyometrics,,,,,kettlebells,,,,https://youtu.be/SVIL3qejG90?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,kettlebells,,Reps; Time,"['olympic_lift: push press', 'equipment: kettlebells']",warm-up/movement prep; accessory work; prep work; warm-up; strength; warm-up / movement prep; strength accessory; stamina,1,1,0,2,40,57e2fd3a4c6a031dc777e846,Weight (Actual),
,Single Arm Kettlebell Swing,,,,,,power_action_plyometrics,,,,,kettlebells,,,,https://youtu.be/0A9bE6tUcOU,kettlebells,,Reps; Minutes,['equipment: kettlebells'],warm-up/movement prep; accessory work; soflete performance; soflete fitness; stamina 1,0,1,0,1,1444,5be1b49b928046000fa2c5cc,Weight (Actual),
,Single Arm Landmine Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=ynCR3U_Z1JQ,,,Reps,[],accessory work; strength 1; accessory work 3; strength 2; strength; stamina,1,1,0,2,807,590cc89b8a676e000f1c7b6e,Weight (Actual),
,Single Arm Landmine Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/cmgGZzPUqL4?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps,['equipment: rower'],accessory work; suns out guns out; strength 2; strength,1,0,0,1,645,588179d4f8fcd2000f909447,Weight (Actual),
,Single Arm Landmine Thruster,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/o3vvqdq72hY?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,barbells,,Reps,[],warm-up/movement prep; warm-up / movement primer; strength 3; warm-up; warmup/movement prep; strength 2; warm up/movement prep; warm-up / movement prep; stamina; movement primer,1,1,0,2,608,5873c908b06dc50011d08772,Weight (Actual),
,Single Arm Low Band Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/mZF1O_N6pus,,,Reps,['equipment: rower'],warm-up/movement prep; accessory work; strength 2,1,0,0,1,1796,5cc10b42fce115001247eeea,Weight (Actual),
,Single Arm Low Cable Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/V9e3v60WT1M,,,Reps,"['equipment: rower', 'equipment: cables']",strength 1,1,0,0,1,1491,5bec3aa2928046000fa52085,Weight (Actual),
,Single Arm Overhead Band Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/oDf7FHi_sls,,,Reps,[],strength 2; strength 3,1,0,0,1,1786,5cb824e3cc3ad8000f1fd496,#N/A,
,SINGLE ARM OVERHEAD DB LUNGE,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=uNMLS5f1sjM,dumbbells,,Reps; Feet,"['equipment: dumbbells', 'basic_functional_movement: lunge']",accessory work; strength 1; strength; stamina; movement primer,1,1,0,2,516,58444169dc2ce90011f93d36,Weight (Actual),
,Single Arm Overhead KB Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/yZusfda_5TU?t=85,kettlebells,,Minutes; Meters; Feet,"['basic_exercise: carry', 'equipment: kettlebells']",warm-up/movement prep; accessory work; strength 1; strength 3; strength 4; trunk work; stamina 1; strength; warm up/movement prep; stamina,1,1,0,2,1593,5c254c182fa17a000f5674fc,Weight (Actual),
,Single Arm Overhead Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=al0fcJzlSrc,,,Reps,['basic_functional_movement: squat'],gymnastics; neuro adaptation; mobility work; warm-up / movement prep; stamina; movement primer,0,1,0,1,860,595d8e22b66a98000f606c0c,Weight (Actual),
,Single Arm Pec Stretch on Rings,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=fY4B5UXtQPY,,,Reps,[],strength 1,1,0,0,1,750,58c1fd69c0ce93000fca97a5,Weight (Actual),
,Single Arm Plank,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=OGPLvnb2Y8U,,,Reps; Minutes; Time; Seconds,['basic_functional_movement: stabilizer'],warm-up/movement prep; accessory work; strength 1; warm-up; weapons development; accessory work 3; strength 2; trunk work; warm up/movement prep; warm-up / movement prep; accessory work 1; assistance work,1,0,0,1,793,590284ffd3a431000f795b51,#N/A,
,Single Arm Prone Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Qk_8O0XwWC8,dumbbells,prone,Reps,"['equipment: dumbbells', 'equipment: rower', 'body position: prone']",accessory work,0,0,0,0,1830,5ce8708e60e5d3000f23df2e,Weight (Actual),
,Single Arm Prone Lat Sweeps,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/dFb5l-7aK-s,,,Reps,['body position: prone'],strength 4,1,0,0,1,1476,5bec3b35cb07e9000fc95d94,Weight (Actual),
,Single Arm Prone Lateral Raises,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/4XiREOkV-vg,,,Reps,"['body position: prone', 'movement direction - plane: frontal', 'movement direction - axis: lateral']",strength 2,1,0,0,1,1474,5bec3aebcb07e9000fc95d8d,Weight (Actual),
,Single Arm Reverse Fly,,,,,,,,,,,,,,,https://youtu.be/tYNVcTxUZpQ,,,Reps,[],accessory work 1,0,0,0,0,1917,5d3a2c43cc3ad8000f3e3eb2,Weight (Actual),
,Single Arm Ring Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/6zZy5fCWUxA,,,Reps,['equipment: rower'],strength 1; warm-up /movement prep; mobility; warm-up/movement prep; strength work; weapons development; bonus material; strength; warm up/movement prep; stamina; accessory work; suns out guns out; mobility work 2; correctives; conditioning; warm-up; strength 2; conditioning 1; warm-up / movement prep; accessory work 1; assistance work,1,1,0,2,596,586fee7fb06dc50011d0811d,Weight (Actual),
,Single Arm Ring Row w/ Rotation,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=RTPzzjQQYIU,,,Reps,"['equipment: rower', 'movement direction - plane: transverse', 'movement direction - axis: rotational']",warm-up/movement prep; accessory work; accessory work 2; strength 2; strength; warm-up / movement prep,1,0,0,1,971,59ca982d3d98d0000fd81665,Weight (Actual),
,Single Arm Ring Row w/Rotation,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=TAdOO3WD7Ec,,,Reps,"['equipment: rower', 'movement direction - plane: transverse', 'movement direction - axis: rotational']",accessory work 2; accessory work; warm-up/movement prep; strength 2,1,0,0,1,1673,5c5fc5686c2e26000f1444fe,#N/A,
,Single Arm Sled Drag,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=8ZE_HOhKH5o,,,Meters; Feet,['equipment: sled'],accessory work; strength 3; strength 2; strength; stamina,1,1,0,2,828,593193b095e3f3000f93dba0,Weight (Actual),
,Single Arm Sots Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=o9pVfRjoqc8,,,Reps,[],warm-up; strength 2; recovery protocol; warm-up / movement prep; movement primer,1,0,0,1,921,598cf356fd7558000f814ef9,Weight (Actual),
,Single Arm Sumo Deadlift High Pull,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/fsPMR7Uj3nQ,barbells,,Reps,['olympic_lift: deadlift'],soflete rx'd; soflete performance; soflete fitness; strength; stamina,1,1,0,2,1155,5a8c792effd2b7000f8557ed,Weight (Actual),
,Single Arm Supinated Grip Lat Pulldown,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/TCf3IPDPvSw,,,Reps,['body position: supine'],strength 3,1,0,0,1,1899,5d24fe2fcc3ad8000f386fec,Weight (Actual),
,Single Arm Tall Kneeling Landmine Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=M2WW_AjLVC4,,,Reps,['body position: kneeling'],accessory work 2; accessory work; strength 1; strength 3; strength 2; accessory work 1,1,0,0,1,924,59937d50fd7558000f81f57f,Weight (Actual),
,Single Arm Tricep Cable Pushdown,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/4KyS_P6yPF4,,,Reps,['equipment: cables'],strength 5; strength 4,1,0,0,1,1753,5ca0e7defce11500123f9dd8,Weight (Actual),
,Single Arm TRX Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/fZjzpiOJjpg,,,Reps,['equipment: rower'],calisthenics 2; strength 1,1,0,0,1,1472,5bec3abe438d7d000f6134f0,#N/A,
,Single Arm Z Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=V3NefggF_ts,,,Reps,[],warm-up/movement prep; accessory work; movement flow; soflete rx'd; strength 1; soflete performance; assisted work; mobility work; warm-up / movement prep,1,0,0,1,1042,59fdeb80145143000f73d1d1,Weight (Actual),
,Single Foot Active Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/z3bJEZ1kXJM,,,,['basic_functional_movement: squat'],,0,0,0,0,1409,5bb02f96c93a2b000f71550c,#N/A,
,Single Leg 3 Way RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=dfFsC1ID9Hc,,,Reps,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",warm-up/movement prep; warm-up / movement prep; warm-up; strength 2,1,0,0,1,1349,5b7dd4d6573453000f4adfb9,Weight (Actual),
,Single Leg Adductor Glute Bridge,,,,,,strength_endurance,,,,,,,,,https://youtu.be/9S1dNc6v4Aw,,bridge,Reps,"['body position: single leg standing', 'movement direction - plane: frontal']",accessory work 2; accessory work,0,0,0,0,1931,5d4a7ab93ef47b0015285b04,#N/A,
,Single Leg Adductor Plank,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=7L8cM9jlOO0,,,Seconds; Reps; Minutes,"['body position: single leg standing', 'movement direction - plane: frontal', 'basic_functional_movement: stabilizer']",warm-up/movement prep; accessory work; accessory work 3; accessory work 2,0,0,0,0,1679,5c6762b37358c8000f7aad1e,Weight (Actual),
,Single Leg Adductor Rock Back,,,,,,,,,,,,,,,https://youtu.be/jQuTqP5xJ2U,,,Reps,"['body position: single leg standing', 'movement direction - plane: frontal']",warm-up/movement prep; skill prep,0,0,0,0,1953,5d65b075ebe7d40011ceff09,#N/A,
,Single Leg Adductor Slide,,,,,,,,,,,,,,,https://youtu.be/wNh6MMpYNVA,,,Reps; Seconds,"['body position: single leg standing', 'movement direction - plane: frontal']",accessory work 2; accessory work,0,0,0,0,1958,5d68654eebe7d40011d00082,#N/A,
,Single Leg Adductor Stretch,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=T1av3n2RHY4,,,Reps; Minutes,"['body position: single leg standing', 'movement direction - plane: frontal']",recovery protocol,0,0,0,0,1932,5d4a848d302896001c6720d2,#N/A,
,Single Leg Alternating V-Ups,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=9yzRpXoIlKk,,,Reps; Seconds,"['body position: single leg standing', 'basic_functional_movement: v-ups']",accessory work; stamina; core,0,1,0,1,1125,5a5cec3814dbcb000f24f28a,#N/A,
,Single Leg Back Extension,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=Akhtt9bnMiI,,,Reps; Seconds,"['body position: single leg standing', 'movement direction - plane: sagittal']",strength work; accessory work; accessory work 2; strength 1; accessory work 3; strength 2; strength; accessory work 1,1,0,0,1,760,58dd426292dd6d000f60f4cb,Weight (Actual),
,Single Leg Back Extension w/ Twist,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/DXlyNMeX6MI,,,Reps,"['body position: single leg standing', 'movement direction - plane: sagittal']",accessory work; strength 2,1,0,0,1,1465,5bec37cf928046000fa51fee,Weight (Actual),
,Single Leg Balance,,,,,,strength_endurance,,,,,,,,,https://youtu.be/Dtgh2_LFkBQ,,single_leg_standing,Seconds; Minutes,['body position: single leg standing'],accessory work,0,0,0,0,1803,5cd1e409cc3ad8000f25b7bb,#N/A,
,Single Leg Banded Hamstring Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=P39aVnfljAI,resistence_bands,,Reps,['body position: single leg standing'],warm-up/movement prep; accessory work; strength 3; warm-up; strength 2; correctives; warm-up / movement prep,1,0,0,1,745,58bac90ac0ce93000fc9e246,#N/A,
,Single Leg Barbell Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/iDV8r5u6En0,barbells,,Reps,"['olympic_lift: deadlift', 'equipment: barbells', 'body position: single leg standing']",strength 3,1,0,0,1,1816,5ce3a694cc3ad8000f29ae04,Weight (Actual),
,Single Leg Barbell Hip Thrust,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/BMIy2gtjsTI,barbells,,Reps; Seconds,"['equipment: barbells', 'body position: single leg standing']",accessory work; strength 3; strength 4; strength 2; strength,1,0,0,1,1475,5bec3b05438d7d000f613505,Weight (Actual),
,Single Leg Bench Hip Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/uE_aIf3_gp8,,,Reps,['body position: single leg standing'],strength 1,1,0,0,1,1546,5c0f6b189eb3da000f0ef99a,#N/A,
,Single Leg Bound to Sprint,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/VUdR9_q1DOk,,,Reps,"['body position: single leg standing', 'basic_functional_movement: sprint']",plyometrics,0,0,1,1,1440,5bd75f36e8be83000f0205bb,#N/A,
,Single Leg Bounds,,,,,,power_drills_plyometrics,,,,stable,,,,,https://www.youtube.com/watch?v=X0dZBSroHDg,,,Reps; Meters; Feet,['body position: single leg standing'],warm-up/movement prep; strength 1; skill prep; plyometrics,1,0,1,2,415,57e2fd3b4c6a031dc777e9d9,#N/A,
,Single Leg Bow Pose,,,,,,,,,,,,,,,https://youtu.be/R4TJWfKlZtY?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Minutes,['body position: single leg standing'],recovery protocol; mobility (long); recovery day; mobility,0,0,0,0,649,58817d2f9f4d4d000f6e0bea,#N/A,
,Single Leg Box Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/soluLdaPzsg,,,Reps; Inches,"['basic_exercise: box jumps', 'body position: single leg standing', 'basic_functional_movement: jump']",strength 1; plyometrics; mobility; warm-up; strength; neuro adaptation; mobility work; accessory work 1,1,0,1,2,874,5968f8b3332cef000f67911e,#N/A,
,Single Leg Box Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=VTLk7RKdcE8,,,Reps,"['body position: single leg standing', 'basic_functional_movement: squat']",warm-up/movement prep; accessory work; strength 4; strength 2; neuro adaptation; strength; accessory work 1; stamina; stamina 2,1,1,0,2,730,58ac91bc4406c1000f25b1ab,Weight (Actual),
,Single Leg Box Squat w/ Barbell,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=plHQfHhzW0M,barbells,,Reps,"['equipment: barbells', 'body position: single leg standing', 'basic_functional_movement: squat']",accessory work; strength 1; warm-up; strength 2; strength; neuro adaptation,1,0,0,1,774,58e69e0dff0f97000f80b82b,Weight (Actual),
,Single Leg Broad Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=U1F5uebdUcw,,,Reps,"['basic_exercise: broad jumps', 'body position: single leg standing', 'basic_functional_movement: jump']",accessory work; plyometics; plyometrics,0,0,1,1,1030,59f0bb40145143000f72819f,#N/A,
,Single Leg Calf Raise,,,,,,,,,,,,,,,https://youtu.be/ORT4oJ_R8Qs,,,Reps; Time,['body position: single leg standing'],sky's out thighs out; skyâ€™s out thighs out (accessory work); skys out thighs out; sky's out thighs out (accessory work); mobility work,0,0,0,0,416,57e2fd3b4c6a031dc777e9da,Weight (Actual),
,Single Leg Crossbody RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=yRCGDGT993w,,,Reps,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",warm-up/movement prep; accessory work; accessory work 2; strength 1; strength 3; warm-up; strength 2; strength 5; warm up/movement prep; warm-up / movement prep,1,0,0,1,1190,5ab3fb0316557e000f3b8f10,Weight (Actual),
,Single Leg Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=7uA1PLNIWK8,,,Reps,"['olympic_lift: deadlift', 'body position: single leg standing']",accessory work; strength 4; strength 3,1,0,0,1,925,59937d7afd7558000f81f580,Weight (Actual),
,Single Leg Double DB RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=oPTCJjPE0l8,dumbbells,,Reps,"['olympic_lift: romanian deadlift', 'equipment: dumbbells', 'body position: single leg standing']",warm-up/movement prep; accessory work; accessory work 2; strength 1; strength 3; strength 2,1,0,0,1,1214,5ac3b70a16557e000f3d5385,Weight (Actual),
,Single Leg Drill (Combat Side Kick â€œScissor Kickâ€),,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/WJCRNWxiK_k?t=28,,,Yards,['body position: single leg standing'],warm-up/movement prep; stroke skill - technical focus; stroke skill 2; stroke refinement; stoke skill - technical focus,0,0,0,0,1581,5c1d38259eb3da000f11e231,#N/A,
,Single Leg Drill (Freestyle),,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/ffXiXCgjdvA?t=17,,,,['body position: single leg standing'],,0,0,0,0,1580,5c1d35c24f9813000fe81e71,#N/A,
,Single Leg Dumbbell Romanian Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=DGavj41F_Cs,dumbbells,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'equipment: dumbbells', 'body position: single leg standing']",warm-up/movement prep; accessory work; accessory work 2; strength 1; strength 3; strength; warm-up / movement prep; movement primer,1,0,0,1,417,57e2fd3b4c6a031dc777e9db,Weight (Actual),
,Single Leg Elevated Glute Bridge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=zI0yglubLpE,,,Reps; Time,['body position: single leg standing'],strength work; accessory work; strength 1; accessory strength; strength; correctives,1,0,0,1,881,596e2e04c3db3e000f700240,Weight (Actual),
,Single Leg Elevated Hip Bridge,,,,,,strength_integrated_resistance,,,,,,,,,,,,Reps,['body position: single leg standing'],strength 2,1,0,0,1,418,57e2fd3b4c6a031dc777e9dc,#N/A,
,Single Leg Facing Landmine RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/BObxvJBl9YA,,,Reps,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",accessory work 2; accessory work,0,0,0,0,1631,5c4f405d07910b000fd354db,Weight (Actual),
,Single Leg Forward Fold,,,,,,,,,,,,,,,https://youtube.com/watch?v=9K5J2rIsETU,,,Minutes,['body position: single leg standing'],recovery protocol; mobility (phm); stamina; mobility,0,1,0,1,528,584ee1137126830011fc99c8,#N/A,
,Single Leg GHD Crossover Sit-Up,,,,,,strength_endurance,,,,,,,,,https://youtu.be/bu1D-voFPSA,,,Reps,['body position: single leg standing'],strength 6,1,0,0,1,1720,5c7fe8a3429bf4000f05070f,#N/A,
