Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action
2401_b,,,positive,,,,,,,strength_integrated_resistance,barbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,2,Shoulder Flexion,,
2401_c,,,negative,,,,,,,strength_integrated_resistance,barbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),1,elbow flexion
2401_d,,,negative,,,,,,,strength_integrated_resistance,barbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,2,Shoulder Extension,,
2402_a,,Bent Over Row,positive,,,,,,,strength_integrated_resistance,dumbbells,,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,1,Shoulder Extension,0,elbow flexion
2402_b,,,negative,,,,,,,strength_integrated_resistance,dumbbells,,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,1,Shoulder Flexion,0,elbow extension
2402_c,,,stance,,,,,,,strength_integrated_resistance,dumbbells,double_leg,,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,isometric,1,hip extension,2,knee extension,3,ankle plantar flexion,1,Trunk Extension,,,,
2403_a,,Dips,positive,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),2,elbow extension
2403_b,,,positive,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,2,Shoulder Flexion,,
2403_c,,,positive,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,2,Scapular Depression,,
2403_d,,,negative,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),2,elbow flexion
