name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
DB Push-Ups,,,,dumbbells,,,,https://www.youtube.com/watch?v=8enS53b5OFw,"['basic_exercise: push-ups', 'equipment: dumbbells']",accessory work; stamina; stamina 2,0,1,0,,1,Reps; Seconds,1200,5ab9420cb678c5000fde47c3
DB Split Jerk,,,,dumbbells,,,,https://www.youtube.com/watch?v=Is5iI_nCsCs,['equipment: dumbbells'],strength 1; movement primer,1,0,0,,1,Reps,1063,5a066418ff5148000f6a5933
DB Split Snatch,,,,dumbbells,,,,https://www.youtube.com/watch?v=eH6vn_SCa5k,"['olympic_lift: snatch', 'equipment: dumbbells']",stamina; strength 1,1,1,0,,2,Reps,813,5917417863f016000f3a28fc
DB Squat Clean Thruster,,,,dumbbells,,,,https://www.youtube.com/watch?v=L-eyTo8XYUc,"['equipment: dumbbells', 'basic_functional_movement: squat']",conditioning; mobility work; stamina,0,1,0,,1,Reps,789,59027c33bbd5d5000f5634d4
DB Twist Curls,,,,dumbbells,,,,https://www.youtube.com/watch?v=FBhAGPfBkrE,['equipment: dumbbells'],strength 2,1,0,0,,1,Reps,1281,5afaf27e1d38c4000fec2ec3
DB Walking Lunge w/ Press,,,,dumbbells,,,,https://www.youtube.com/watch?v=Fh2oQjVG8o8,"['equipment: dumbbells', 'basic_functional_movement: lunge']",strength 1,1,0,0,,1,Feet,1687,5c6a281a7358c8000f7b2c7a
Dead Bug Curl-Up,,,,,,,,https://youtu.be/Ndrf-kx1XRI,[],accessory work 3,0,0,0,,0,Seconds; Time,1851,5d028762fce115001256d32b
Dead Bug Hip Opener,,,,,,,,https://youtu.be/O0W3mou5O4U,[],warm-up/movement prep,0,0,0,,0,Reps,1527,5bfeee86a566b3000fd1d818
Dead Bug Home Position,,,,,,,,,[],,0,0,0,,0,,281,57e2fd3a4c6a031dc777e94e
Dead Bug Single Arm Band Pull,,,,,,,,https://youtu.be/77Yp4IWGWys,[],warm-up/movement prep,0,0,0,,0,Reps,1526,5bfeed43a566b3000fd1d7a3
Dead Bug with Pelvis Tilt,,,,,,,,,[],,0,0,0,,0,,282,57e2fd3a4c6a031dc777e94f
Dead Bug with Wall,,,,,,,,https://youtu.be/Ey1SWBw4ECA,[],warm-up/movement prep; movement flow; accessory work; accessory work 2; strength; warm-up / movement prep,1,0,0,,1,Reps,977,59cc483a546031000fe95a1b
Dead Bugs,,,,,,,,https://www.youtube.com/watch?v=rbemelnkHag,[],prehab/dynamic warm up; neuro adaptation; mobility work; core; warm-up/movement prep; strength work; accessory work 2; movement prep; prehab/dynamic warm-up; prehab / dynamic warm-up; warm up/movement prep; stamina; accessory work; accessory work 4; trunk work 1; prehab/dynamic warm-u; movement flow; warm-up; accessory work 3; warm-up / movement prep,1,1,0,,2,Seconds; Reps; Time,172,57e2fd3a4c6a031dc777e8d5
