Define categories for actions to align with adaptation types and similar functional movements,Define candidate action's applicability to movement,,,,,,How to Apply Weight,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
1004,prone plank stabilization,,,,,,strength_endurance,,prone,double_arm,"l, t, u",bilateral,,100,TRUE,no_speed,FALSE,,isometric,1,hip flexion,2,knee extension,3,ankle dorsiflexion,1,Trunk Flexion,2,Shoulder Extension,,,,isometric,,,,sagital plane,frontal plane,,,,,,,,
1005_a,single arm prone plank stabilization,upper body,,,,,strength_endurance,,prone,single_arm,"t, u",unilateral,,100,TRUE,no_speed,FALSE,,isometric,,,,,,,1,Trunk Flexion w/ Rotation,2,Shoulder Extension,,,,isometric,,,,,,,,,,,,,
1005_b,,lower body,,,,,strength_endurance,,prone,,l,bilateral_uneven,,"60, 40",TRUE,no_speed,FALSE,,isometric,2,hip flexion,2,knee extension,3,ankle dorsiflexion,,,,,,,,,,,,,,,,,,,,,
,V-up hold,,,,,,strength_endurance,,prone,,,bilateral,,40,TRUE,no_speed,FALSE,,isometric,1,hip flexion,3,knee extension,,,2,Trunk Flexion,,,,,,isometric,,,,,,,,,,,,,
,supine plank stabilization,,,,,,strength_endurance,,supine,,,bilateral,,100,TRUE,no_speed,FALSE,,isometric,1,hip extension,,,2,ankle plantar flexion,1,Trunk Extension,2,Shoulder Extension,,,,isometric,,,,,,,,,,,,,
,side lying plank stabilization,,,,,,strength_endurance,,side_lying,,,bilateral,,100,TRUE,no_speed,FALSE,,isometric,1,hip adduction,,,,,1,Trunk Lateral Flexion,1,Shoulder Horizontal Abduction (Horizontal Extension),,,,isometric,,,,,,,,,,,,,
1000,power stance,,,,,,strength_endurance,,double_leg,,,bilateral,,100,TRUE,no_speed,TRUE,,isometric,1,hip extension,2,knee extension,3,ankle plantar flexion,3,Trunk Extension,,,,,,isometric,,,,sagital plane,,,,,,,,,
,split stance balance,,,,,,strength_endurance,,single_leg,,,bilateral_uneven,,"75, 25",TRUE,no_speed,TRUE,,isometric,1,hip extension,2,knee extension,3,ankle plantar flexion,3,Trunk Extension,,,,,,isometric,,,,,,,,,,,,,
,single leg balance,,,,,,strength_endurance,,single_leg,,,bilateral,,100,TRUE,no_speed,TRUE,,isometric,1,hip extension,2,knee extension,3,ankle plantar flexion,3,Trunk Extension,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Supine Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101_a,crunch ,up,,,,,strength_endurance,,supine,,,,,30,TRUE,no_speed,FALSE,,concentric,,,,,,,,Trunk Flexion,,,,,,isometric,,,,,,,,,,,,,
,,down,,,,,strength_endurance,,supine,,,,,30,TRUE,no_speed,FALSE,,eccentric,,,,,,,,Trunk Flexion,,,,,,isometric,,,,,,,,,,,,,
,Prone Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201_a,"prone, arms lateral walk",,,,,,strength_endurance,,prone,double_arm,,,,50,FALSE,no_speed,FALSE,,concentric,,,,,,,,,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Horizontal Abduction (Horizontal Extension)",,,,isometric,,,,,,,,,,,,,
,Y,raise,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,hold,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,lower,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,T,raise,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,hold,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,lower,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,W,raise,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,hold,,,,,strength_endurance,,prone,double_arm,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
