SubAction,,,,,,,literal direction that the joint is moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub_action_id,sub_action_name,description,muscle_action,movement_system_priority,movement_system,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action,wrist_joint_priority,wrist_joint_action,,body_position,eligible_external_resistance,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution
2404.1_c,Hammer Bicep Curl:stance,,isometric,,,,,,,,,,,2,Shoulder Flexion,,,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2404.2_a,Reverse Bicep Curl:positive,,concentric,,,,,,,,,,,,,1,elbow flexion,,,,upright_torso,single_dumbbell,,TRUE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2404.2_b,Reverse Bicep Curl:negative,,eccentric,,,,,,,,,,,,,1,elbow extension,,,,upright_torso,single_dumbbell,,FALSE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2404.2_c,Reverse Bicep Curl:stance,,isometric,,,,,,,,,,,2,Shoulder Flexion,,,2,Wrist Extension,,upright_torso,single_dumbbell,,FALSE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2405_a,Lateral Raise:Positive,,concentric,,,,,,,,,,,1,Shoulder Abduction,,,3,wrist extension,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2405_b,Lateral Raise:Negative,,eccentric,,,,,,,,,,,1,Shoulder Adduction,,,3,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2405.1_a,Lateral Raise Neutral Grip:Positive,,concentric,,,,,,,,,,,1,Shoulder Abduction,,,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2405.1_b,Lateral Raise Neutral Grip:Negative,,eccentric,,,,,,,,,,,1,Shoulder Adduction,,,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2405.1_c,Lateral Raise Neutral Grip:stance,,isometric,,,,,,,,,,,2,Shoulder External Rotation,,,4,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406_a,Front Raise:Positive,,concentric,,,,,,,,,,,1,Shoulder Flexion,,,3,wrist extension,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406_b,Front Raise:Negative,,eccentric,,,,,,,,,,,1,Shoulder Extension,,,3,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406_c,Front Raise:isometric hold,,isometric,,,,,,,,,,,1,Shoulder Flexion,,,3,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.1_a,Front Raise Neutral Grip:Positive,palms facing together (midline),concentric,,,,,,,,,,,1,Shoulder Flexion,,,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.1_b,Front Raise Neutral Grip:Negative,,eccentric,,,,,,,,,,,1,Shoulder Extension,,,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.1_c,Front Raise Neutral Grip:stance,,isometric,,,,,,,,,,,2,Shoulder External Rotation,,,4,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.1_d,Front Raise Neutral Grip:isometric hold,palms facing together (midline),isometric,,,,,,,,,,,1,Shoulder Flexion,,,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.1_d,,,isometric,,,,,,,,,,,2,Shoulder External Rotation,,,4,wrist extension,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.2_a,Mini-band Front Raise Neutral Grip:Positive,"arms extended in front of you with mini band around the wrists and palms facing together. Apply pressure outwards against reistance, while raising and lowering arms from hip to shoulder height",concentric,,,,,,,,,,,3,Shoulder Flexion,,,,,,upright_torso,mini_bands,,FALSE,FALSE,FALSE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.2_b,Mini-band Front Raise Neutral Grip:Negative,,eccentric,,,,,,,,,,,3,Shoulder Extension,,,,,,upright_torso,mini_bands,,FALSE,FALSE,FALSE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.2_c,Mini-band Front Raise Neutral Grip: stance,,isometric,,,,,,,,,,,1,Shoulder Abduction,,,,,,upright_torso,mini_bands,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2406.2_a,Mini-band Bent Elbow Front Raise: Positive,"Front Raise, Elbows Bent, Palms Toward Face, Band around Wrists
like a double arm upper cut, mini band around wrists applying pressure outward. Raise and lower upper cut",concentric,,,,,,,,,,,3,Shoulder Flexion,,,,,,upright_torso,mini_bands,,FALSE,FALSE,FALSE,,double_arm,bilateral,2,,,1,9.43,"50,50"
